register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
528,589000,China,7/1/91,7/18/91,18,750,615000,3000000000,Heavy rain,1,589,7.03,106.342,29.148
529,32700,China,7/1/91,7/9/91,9,0,,300000000,Heavy rain,1,32.7,5.47,120.241,30.182
530,134700,China,7/2/91,7/18/91,17,101,160000,,Heavy rain,1,134.7,6.36,111.681,28.153
531,4040,Bangladesh,7/4/91,7/6/91,3,0,40000,,Heavy rain,1,4.04,4.08,89.337,24.075
532,14410,Soviet Union,7/5/91,7/8/91,4,15,,1000000,Heavy rain,1,14.41,4.76,28.142,47.785
533,8040,Turkey,7/7/91,7/10/91,4,15,,,Heavy rain,1,8.04,4.51,32.193,41.392
534,3470,Soviet Union,7/9/91,7/10/91,2,2,,,Heavy rain,1,3.47,3.84,42.059,41.736
535,5760,Philippines - Typhoon Etang,7/10/91,7/13/91,4,2,,,Tropical cyclone,1,5.76,4.36,120.704,15.254
536,129000,Myanmar,7/10/91,7/23/91,14,0,17570,,Heavy rain,1,129,6.26,95.019,23.941
537,20390,Bangladesh,7/10/91,7/15/91,6,4,70000,,Heavy rain,1,20.39,5.09,89.625,23.892
538,61650,Soviet Union,7/11/91,7/29/91,19,2,2000,300000,Heavy rain,1,61.65,6.07,107.829,51.744
539,55550,India,7/13/91,7/19/91,7,25,400000,,Monsoonal rain,1,55.55,5.59,92.959,26.606
540,36970,Ghana,7/14/91,7/16/91,3,5,,,Heavy rain,1,36.97,5.04,-0.189,6.108
541,55050,Bangladesh,7/14/91,7/16/91,3,17,300000,,Heavy rain,1,55.05,5.22,90.057,24.179
542,17910,Benin,7/15/91,7/20/91,6,2,200000,,Heavy rain,1,17.91,5.03,2.154,7.486
544,366900,Soviet Union,7/18/91,7/22/91,5,0,,,Heavy rain,1,366.9,6.26,114.912,53.804
545,94810,China,7/19/91,7/20/91,2,8,,,Heavy rain,1,94.81,5.28,120.096,36.338
546,21910,South Korea,7/22/91,7/26/91,5,54,3600,105000000,Heavy rain,1,21.91,5.04,127.561,37.173
547,12140,Philippines - Tropical Storm Brendan,7/23/91,7/28/91,6,16,20000,,Tropical cyclone,1,12.14,4.86,120.582,15.086
548,508800,China - Typhoon Caitlin,7/23/91,8/3/91,12,66,160000,364000000,Tropical cyclone,1,508.8,6.79,126.941,44.891
549,2400,Thailand,7/25/91,7/27/91,3,1,,,Brief torrential rain,1.5,2.4,4.03,99.942,6.78
550,54880,Ethiopia,7/25/91,7/26/91,2,2,,,Heavy rain,1,54.88,5.04,41.162,14.156
551,30960,Vietnam,7/28/91,7/31/91,4,38,4000,3200000,Monsoonal rain,1,30.96,5.09,103.614,21.721
552,40940,Romania,7/29/91,7/30/91,2,71,10000,33000000,Heavy rain,1,40.94,4.91,26.737,46.966
553,47250,India,7/29/91,7/31/91,3,500,6000,,Monsoonal rain,1,47.25,5.15,79.157,20.947
554,60520,Czechoslovakia,8/1/91,8/3/91,3,0,,,Heavy rain,1,60.52,5.26,15.857,49.784
555,8790,Soviet Union,8/2/91,8/9/91,8,46,,,Heavy rain,1,8.79,4.85,39.471,43.964
556,13830,Bangladesh,8/2/91,8/7/91,6,6,50000,,Heavy rain,1,13.83,4.92,91.991,21.958
559,22910,Nigeria,8/4/91,8/5/91,2,4,10000,,Heavy rain,1,22.91,4.66,8.529,11.69
560,55420,Myanmar,8/7/91,8/9/91,3,1,210250,,Heavy rain,1.5,55.42,5.4,95.559,16.981
561,773100,Soviet Union,8/8/91,8/13/91,6,0,,1000000,Heavy rain,1,773.1,6.67,133.701,54.554
562,4350,China,8/8/91,8/9/91,2,16,20000,,Brief torrential rain,1,4.35,3.94,121.424,31.093
563,7440,Bangladesh,8/9/91,8/20/91,12,800,,,Heavy rain,1,7.44,4.95,90.203,24.665
564,554200,China,8/9/91,8/12/91,4,456,,566000000,Heavy rain,1,554.2,6.35,103.821,30.052
565,2580,USA,8/10/91,8/12/91,3,0,200,,Heavy rain,1,2.58,3.89,-75.492,40.021
566,32780,Iran,8/11/91,8/13/91,3,0,120,,Heavy rain,1,32.78,4.99,54.214,37.234
567,14210,USA,8/12/91,8/14/91,3,1,,,Heavy rain,1,14.21,4.63,-97.467,32.517
568,104600,Sudan,8/12/91,8/13/91,2,3,18000,,Heavy rain,1,104.6,5.32,33.843,13.344
570,151900,India,8/14/91,8/18/91,5,15,,,Heavy rain,1,151.9,5.88,84.418,20.205
571,547700,India,8/15/91,8/29/91,15,88,,,Monsoonal rain,1,547.7,6.91,81.033,28.367
572,42120,Vietnam - Typhoon Fred,8/17/91,8/21/91,5,15,40000,,Tropical cyclone,1,42.12,5.32,105.467,18.757
573,48320,Thailand - Typhoon Fred,8/18/91,8/21/91,4,0,,,Tropical cyclone,1,48.32,5.29,103.415,17.31
574,30250,Myanmar,8/18/91,8/19/91,2,0,29674,,Heavy rain,1,30.25,4.78,97.657,17.364
576,55860,Cambodia,8/22/91,8/30/91,9,100,700000,1500000,Heavy rain,1,55.86,5.7,105.268,11.537
577,657000,Mexico,8/27/91,9/5/91,10,12,8500,1000000,Heavy rain,1,657,6.82,-107.422,26.606
578,170900,India,9/1/91,9/14/91,14,0,87500,,Monsoonal rain,1,170.9,6.38,85.735,24.707
579,24980,USA,9/5/91,9/8/91,4,0,,,Heavy rain,1.5,24.98,5.18,-111.924,41.062
580,12170,Thailand,9/5/91,9/8/91,4,16,2000,6400000,Heavy rain,1,12.17,4.69,99.939,19.73
581,400,Philippines,9/7/91,9/8/91,2,0,10000,,Monsoonal rain,1,400,2.9,120.147,14.99
582,152000,Japan - Typhoon Kinna,9/10/91,9/14/91,5,9,80,,Extra-tropical cyclone,1,152,5.88,132.749,34.225
583,63030,Bangladesh,9/11/91,9/17/91,7,112,1000000,,Monsoonal rain,1,63.03,5.64,90.214,25.182
584,70880,USA,9/14/91,9/16/91,3,0,,,Heavy rain,1,70.88,5.33,-99.895,28.804
585,91960,India,9/14/91,9/15/91,2,21,,40000000,Monsoonal rain,1,91.96,5.26,87.833,24.339
586,20790,Vietnam,9/19/91,9/25/91,7,55,21000,,Heavy rain,1,20.79,5.16,105.635,10.208
587,52830,Japan - Typhoon Luke,9/19/91,9/22/91,4,8,200,,Extra-tropical cyclone,1,52.83,5.32,138.423,35.128
588,35830,Britain,9/26/91,9/27/91,2,0,,,Brief torrential rain,1,35.83,4.86,0.305,51.858
589,141700,Japan - Typhoon Mireille,9/27/91,9/30/91,4,52,500,,Extra-tropical cyclone,1,141.7,5.75,142.664,43.442
591,49660,Iran,10/5/91,10/6/91,2,12,,,Heavy rain,1,49.66,5,51.671,30.787
592,3490,Turkey,10/6/91,10/7/91,2,6,,,Heavy rain,1,3.49,3.84,29.27,41.029
593,10410,USA,10/8/91,10/13/91,6,0,,1000000,Heavy rain,1,10.41,4.8,-80.423,26.276
594,29060,Japan - Typhoon Orchid,10/12/91,10/13/91,2,0,100,,Extra-tropical cyclone,1,29.06,4.76,140.229,35.324
595,52840,Italy,10/13/91,10/15/91,3,17,,,Heavy rain,1,52.84,5.2,14.017,37.443
596,54780,Philippines - Typhoon Ruth,10/28/91,10/29/91,2,43,165000,,Tropical cyclone,1,54.78,5.04,121.394,17.224
598,599600,India,11/13/91,11/18/91,6,90,85000,3000000,Heavy rain,1,599.6,6.56,79.475,14.002
599,94630,Brazil,11/16/91,11/17/91,2,12,10000,,Heavy rain,1,94.63,5.28,-51.131,-27.636
600,54660,Indonesia,11/30/91,12/2/91,3,0,,,Heavy rain,1,54.66,5.21,96.903,3.964
601,210400,USA,12/2/91,12/3/91,2,4,,,Heavy rain,1,210.4,5.62,-82.902,40.052
603,336700,Iran,12/7/91,12/11/91,5,22,,,Heavy rain,1,336.7,6.23,49.567,32.869
604,110,French Polynesia,12/11/91,12/12/91,2,2,,,Tropical cyclone,1,110,2.34,-149.853,-17.525
605,1890,Sri Lanka,12/12/91,12/15/91,4,0,10000,,Heavy rain,1,1.89,3.88,81.619,7.643
606,1320,USA,12/14/91,12/16/91,3,3,200,7100000,Heavy rain,1,1.32,3.6,-159.554,22.061
607,92250,Indonesia,12/16/91,12/22/91,7,2,100000,1500000,Heavy rain,1,92.25,5.81,101.949,0.61
608,7420,USA,12/18/91,12/31/91,14,15,1800,8000000,Heavy rain,1,7.42,5.02,-95.963,29.47
609,10180,Lebanon,12/23/91,12/28/91,6,1,2000,,Heavy rain,1,10.18,4.79,35.872,33.846
610,67100,Malaysia,12/24/91,12/30/91,7,11,,,Heavy rain,1,67.1,5.67,112.949,2.984
612,5880,Scotland,1/2/92,1/3/92,2,1,30,,Heavy rain,1,5.88,4.07,-3.741,57.28
613,8220,Brazil,1/4/92,1/5/92,2,25,1000,,Heavy rain,1,8.22,4.22,-43.321,-22.56
614,3770,Yemen,1/4/92,1/6/92,3,0,24200,,Heavy rain,1,3.77,4.05,53.908,12.509
615,397300,Argentina,1/5/92,1/7/92,3,53,1800,,Brief torrential rain,1,397.3,6.08,-61.728,-31.396
616,7910,Puerto Rico,1/5/92,1/8/92,4,20,600,200000000,Heavy rain,1,7.91,4.5,-66.453,18.225
617,18380,Britain,1/9/92,1/9/92,1,0,,,Rain and snowmelt,1,18.38,4.26,-0.089,52.418
618,478300,Mexico,1/17/92,1/18/92,2,50,13000,,Rain and snowmelt,1,478.3,5.98,-103.421,25.503
619,12840,Algeria,1/21/92,1/29/92,9,18,500,900000,Heavy rain,1,12.84,5.06,2.759,36.376
